PropertyID,Locality,Latitude,Longitude,Price,Area,Bedrooms,Bathrooms,PropertyAge,Parking,PropertyType,Cluster,PCA1,PCA2
1,Perungudi,12.965534,80.249544,15046004,1676,1,1,7,Yes,Apartment,2,-2.0024583383401233,-0.9763956534146472
2,Anna Nagar,13.085107,80.200631,9851480,680,5,4,0,Yes,Apartment,1,1.9511188689261854,-2.0650885882656485
3,Tambaram,12.928863,80.096805,16460980,1452,5,4,14,No,Apartment,1,1.766627417684059,-0.8530944074761923
4,Velachery,12.98605,80.223275,13468808,968,2,2,2,No,Apartment,2,-0.8053587879252087,-1.705246626124191
5,Guindy,13.006264,80.223073,44556824,2746,1,2,3,No,Apartment,0,-1.487217072597753,1.8016064997986332
6,Anna Salai,13.067506,80.25693,8428038,834,3,3,1,Yes,Villa,1,0.3264049417169102,-2.0796105327336085
7,T Nagar,13.03599,80.22904,41921460,3153,3,4,11,Yes,Villa,3,0.6317158444809153,2.1970662899976663
8,Anna Salai,13.057989,80.25939,40386301,2737,1,1,23,Yes,Apartment,0,-2.257145605629202,1.641693353244294
9,Perungudi,12.968101,80.239723,16631950,1878,5,4,24,Yes,Apartment,1,1.651116174525192,-0.3770226529858116
10,Anna Nagar,13.084177,80.205398,25895440,1420,2,2,20,No,Villa,2,-1.0154723559318588,-0.4147888294065057
11,Tambaram,12.934847,80.092767,33685792,2944,5,4,13,No,Villa,3,1.6493752877952519,1.5622306437992983
12,Chromepet,12.953528,80.143895,14402084,999,1,1,4,Yes,Independent House,2,-1.9319042113375735,-1.6661834355654042
13,Sholinganallur,12.906018,80.233272,46484352,2816,4,4,0,Yes,Independent House,3,1.2452488951875578,2.100716426943434
14,Porur,13.047638,80.161739,26863950,2330,1,1,5,No,Apartment,0,-2.047882162736084,0.32743872845728267
15,Medavakkam,12.92815,80.193388,42070042,3167,1,1,16,Yes,Apartment,0,-2.2257495885048804,2.0947014099497827
16,Guindy,13.018982,80.228074,29022496,3003,5,4,10,No,Apartment,3,1.6806158591231606,1.3168149986919488
17,Pallikaranai,12.94332,80.22326,13275094,787,3,3,7,Yes,Apartment,1,0.26761023016846774,-1.7912664447418547
18,Medavakkam,12.930349,80.191063,40049920,2496,2,2,17,Yes,Villa,0,-1.0831011603859195,1.415216880310964
19,Tambaram,12.92393,80.094958,30764654,1826,5,4,12,No,Villa,3,1.7344113503670444,0.33904659121588826
20,Anna Nagar,13.075144,80.214257,32889072,2959,3,2,17,Yes,Independent House,0,-0.595868029751742,1.4368926881884325
21,Adyar,13.00227,80.257208,8389522,678,2,1,10,Yes,Independent House,2,-1.4499817629889942,-2.264266665785635
22,Medavakkam,12.914787,80.19578,16633855,1545,2,3,25,No,Villa,2,-0.4488261216933845,-0.7794851889406634
23,Porur,13.047883,80.148468,45592172,2462,4,4,23,Yes,Independent House,3,1.0664812237826948,1.8765323258662108
24,T Nagar,13.034604,80.22737,24000800,1568,3,2,6,Yes,Independent House,2,-0.3944263288753538,-0.46743796197632315
25,Chromepet,12.961586,80.152921,42822660,2365,2,1,25,Yes,Apartment,0,-1.7521560169806623,1.475089723727441
26,Anna Nagar,13.093049,80.203393,31043980,2214,2,2,15,No,Apartment,0,-1.031124026344577,0.5987679350374507
27,Adyar,13.009937,80.257233,40861365,2413,4,4,9,No,Independent House,3,1.2017029031153275,1.45046760305791
28,Tambaram,12.916043,80.101684,11076882,789,3,3,18,Yes,Independent House,1,0.17449043417558324,-1.845186132671477
29,Medavakkam,12.924801,80.196104,8851404,782,5,4,16,Yes,Apartment,1,1.805373615316637,-1.9194838246307624
30,Tambaram,12.923284,80.101673,26052869,2883,4,3,7,Yes,Independent House,3,0.614872853817377,0.9466763406004535
31,Medavakkam,12.920816,80.196034,17232486,1386,3,3,21,No,Apartment,1,0.09893390786854443,-0.8994019729417687
32,OMR,12.919922,80.221465,15741728,847,4,4,0,No,Independent House,1,1.4262680911604466,-1.576278848423996
33,Tambaram,12.9206,80.098764,16754968,1092,5,4,11,Yes,Apartment,1,1.8153704484922288,-1.1914433861652403
34,Medavakkam,12.915209,80.184741,33470393,2821,3,2,9,Yes,Apartment,0,-0.5176284431630195,1.2879473610642393
35,Medavakkam,12.916972,80.195285,22499368,1704,2,2,19,Yes,Independent House,2,-1.0184506231652126,-0.36086874549754316
36,OMR,12.916587,80.220882,24495742,1578,5,4,1,Yes,Independent House,1,1.858602819284329,-0.3438263338388485
37,Porur,13.039418,80.148737,17962477,1211,2,2,23,No,Independent House,2,-1.0141802009696852,-1.064361346835193
38,Anna Salai,13.051237,80.246893,19739456,2062,2,1,18,Yes,Villa,2,-1.629021558705426,-0.2395820514767372
39,Anna Salai,13.057474,80.250798,12744440,1410,1,1,21,Yes,Independent House,2,-2.1048563746044273,-1.2653468549801674
40,Pallikaranai,12.930587,80.22219,13249714,1519,4,4,5,Yes,Villa,1,1.3441244108883335,-1.0653625056162863
41,Guindy,13.017572,80.214949,14535028,1642,4,4,5,Yes,Villa,1,1.3339773246175213,-0.8737506844596629
42,Pallikaranai,12.940201,80.211669,15296600,1800,4,4,25,Yes,Apartment,1,1.1461852675124464,-0.5427175650604756
43,OMR,12.906623,80.220552,31880580,1988,1,1,20,No,Independent House,0,-2.167657257807342,0.41344343576550313
44,Anna Salai,13.059091,80.254171,50614272,2928,3,3,8,Yes,Apartment,3,0.05481055235432462,2.4483580350676406
45,Porur,13.042376,80.146534,18435329,2127,4,3,18,Yes,Villa,1,0.5797132236094037,-0.13807132761178298
46,Anna Salai,13.062863,80.252868,27826769,2041,5,4,13,Yes,Independent House,3,1.7173316649686183,0.37000929130374316
47,Anna Nagar,13.086088,80.203937,27817368,2222,3,3,10,No,Independent House,3,0.12359813903423225,0.43777338770082286
48,Perungudi,12.968675,80.237777,51065367,3071,4,4,18,No,Villa,3,1.0619645753414686,2.7372789566281495
49,Tambaram,12.925123,80.105875,27769454,2454,4,4,14,No,Independent House,3,1.1789369297327852,0.738181830388084
50,Guindy,13.013856,80.214993,19571776,1712,2,1,16,No,Apartment,2,-1.5888878370809179,-0.5893898777011832
51,Tambaram,12.924008,80.107723,7054627,739,2,1,7,No,Independent House,2,-1.4249515718215722,-2.308240423015152
52,Sholinganallur,12.904752,80.235753,46683352,2574,2,3,12,Yes,Apartment,0,-0.454336192556974,1.890742020156716
53,Pallikaranai,12.931984,80.220667,23826872,1446,1,2,5,No,Apartment,2,-1.3845496825842807,-0.6381881670934557
54,Chromepet,12.9579,80.15404,47425825,2725,2,3,17,No,Villa,0,-0.5093620383509929,2.110436408447812
55,T Nagar,13.046836,80.240497,16006446,1201,5,4,23,No,Villa,1,1.7039983045253995,-1.0518828438316015
56,OMR,12.914271,80.22469,28274473,3117,5,4,7,No,Villa,3,1.7012133432437127,1.3573866983949172
57,Porur,13.042328,80.147785,12105348,1116,3,2,4,Yes,Villa,2,-0.32639033408634577,-1.6154582812692715
58,T Nagar,13.049897,80.235382,31647393,2253,3,4,1,Yes,Villa,3,0.7957434453541643,0.6737846963020727
59,Mylapore,13.040669,80.278769,34012667,2503,1,2,0,No,Villa,0,-1.4260817249669577,0.9223283838285876
60,T Nagar,13.03238,80.230423,40622844,2549,5,4,7,No,Villa,3,1.7146526509659246,1.5688887814577765
61,Perungudi,12.963288,80.232242,43141408,2464,4,4,4,Yes,Villa,3,1.2383980863605644,1.6001191613848582
62,Perungudi,12.958547,80.240794,34248051,2441,4,4,5,Yes,Villa,3,1.2472921504275145,1.052344149998947
63,Porur,13.04318,80.147542,18653492,2276,4,4,8,Yes,Villa,3,1.2597985590601635,-0.01566319028780558
64,Porur,13.044985,80.158927,8329924,714,2,1,24,Yes,Apartment,2,-1.5756234742486661,-2.137552841128506
65,Tambaram,12.930238,80.093356,12399564,1018,2,3,18,Yes,Villa,2,-0.3459424411795916,-1.572523155574551
66,Sholinganallur,12.904547,80.237063,30473792,1824,1,1,3,Yes,Villa,0,-2.004763011186182,0.058869126097135314
67,T Nagar,13.048806,80.235708,36524475,2975,2,1,22,Yes,Apartment,0,-1.7528589001102712,1.6447488733062634
68,Anna Nagar,13.076379,80.213051,28276012,1972,5,4,17,No,Independent House,3,1.6856082578755702,0.36033892325977046
69,Adyar,13.010846,80.25621,16270424,982,4,4,13,No,Independent House,1,1.3020939862525922,-1.3290094483374724
70,Mylapore,13.040115,80.271549,45925792,3072,5,4,25,No,Villa,3,1.5130584362092432,2.49830950384846
71,Porur,13.040407,80.15408,28640512,1692,2,1,14,Yes,Villa,2,-1.5865572219646538,-0.07805318027636642
72,Adyar,13.003507,80.265106,16534208,1294,4,4,15,Yes,Villa,1,1.2641936884861111,-1.008825664621842
73,Mylapore,13.033372,80.274863,37912228,2666,3,2,6,Yes,Apartment,0,-0.48946312355220867,1.389215737498283
74,Mylapore,13.028032,80.273536,30190700,2385,4,4,25,Yes,Apartment,3,1.0818749559299823,0.8951394254199078
75,OMR,12.906616,80.234057,42350296,2488,5,4,17,No,Villa,3,1.627170773681828,1.6847828827889386
76,OMR,12.914858,80.239018,14883252,1494,3,3,3,Yes,Villa,1,0.2551259598909078,-1.0641052549692478
77,Mylapore,13.043132,80.270193,24922324,1436,2,2,23,No,Villa,2,-1.041165568223958,-0.4375047141714939
78,OMR,12.900283,80.230683,21571376,1763,1,1,7,No,Apartment,2,-2.019900813276014,-0.5041007887427091
79,OMR,12.902052,80.220245,42858272,2816,1,1,9,Yes,Independent House,0,-2.143203822177226,1.7667228597629672
80,OMR,12.918821,80.229555,28214144,2354,4,4,10,Yes,Apartment,3,1.2197404937301752,0.6440770850252736
81,Pallikaranai,12.943223,80.222683,24714416,2564,1,2,2,Yes,Apartment,0,-1.4305921085128934,0.43540974995218074
82,Anna Nagar,13.090815,80.204614,48531610,2835,2,1,24,No,Independent House,0,-1.7835680827535882,2.2481787035269862
83,Medavakkam,12.925321,80.194793,40554708,2363,4,4,9,No,Villa,3,1.205433248055168,1.3855182392876506
84,Mylapore,13.026741,80.263176,26422960,3112,1,1,6,No,Independent House,0,-2.1054716466423975,1.0361282084683898
85,Anna Nagar,13.07963,80.214239,17748082,2223,2,1,14,No,Villa,2,-1.6003119862401276,-0.23670877527408918
86,Mylapore,13.034491,80.272653,15373280,1506,4,3,8,Yes,Villa,1,0.7128711132761318,-0.9690891305883389
87,Anna Salai,13.065379,80.250984,15602658,842,3,3,1,Yes,Villa,1,0.3127841362946205,-1.6419521521343614
88,OMR,12.918854,80.230009,35563586,2469,4,3,22,No,Independent House,3,0.49144812846987473,1.2351095367560048
89,Chromepet,12.953674,80.136717,38827720,2999,4,3,1,No,Independent House,3,0.637084203757465,1.7792416034068796
90,Tambaram,12.925279,80.098845,26812324,1653,5,4,18,Yes,Apartment,1,1.699687989930956,-0.01757778942550142
91,OMR,12.908167,80.226421,41005000,3150,2,3,15,Yes,Villa,0,-0.5069315107305753,2.107376133367638
92,Anna Nagar,13.093904,80.216371,40923780,2236,2,2,22,No,Villa,0,-1.112311041209011,1.2600546448763092
93,Medavakkam,12.932304,80.190684,8598090,910,1,2,10,No,Villa,2,-1.3668299336529168,-2.0159250457388302
94,Medavakkam,12.925353,80.19257,29482334,2242,1,2,1,Yes,Independent House,0,-1.410073857170144,0.41453905357258275
95,Chromepet,12.959217,80.145894,23794454,1643,1,1,17,Yes,Villa,2,-2.104548171053701,-0.4134301687243824
96,Adyar,12.998564,80.267345,18893432,1198,5,4,9,Yes,Independent House,1,1.822380074595244,-0.9783287163051264
97,Anna Salai,13.060577,80.245068,12646211,1031,1,2,20,Yes,Villa,2,-1.4700917139255831,-1.5913941082329324
98,Pallikaranai,12.945437,80.213865,17668856,1548,4,4,14,Yes,Villa,1,1.2548361655583005,-0.7111688854792785
99,Anna Salai,13.055743,80.239651,26749558,1681,2,1,24,No,Villa,2,-1.6705952905921304,-0.1325665244951353
100,Mylapore,13.034638,80.270569,15912468,1158,3,4,14,No,Villa,1,0.7792738138077675,-1.1995652725876313
101,Chromepet,12.942473,80.151094,22479440,1528,3,3,18,No,Apartment,1,0.10679877773176888,-0.4732817313870852
102,Mylapore,13.042907,80.26634,19863617,1173,4,4,15,Yes,Apartment,1,1.265779280333428,-0.9218644431450616
103,Anna Nagar,13.0832,80.213196,27312144,2704,4,3,14,Yes,Independent House,3,0.562185036302503,0.903877405081386
104,Velachery,12.986135,80.228247,14095025,1635,1,2,10,No,Independent House,2,-1.4228398514496008,-1.011174092732091
105,Pallikaranai,12.939349,80.208395,16515036,1847,5,4,20,No,Independent House,1,1.6885718436664656,-0.4405478412884244
106,Perungudi,12.960874,80.24558,9454320,920,3,3,13,Yes,Independent House,1,0.21324697351279534,-1.855046462532068
107,Anna Salai,13.057897,80.242511,24675494,1878,1,1,25,Yes,Villa,2,-2.1916101284734024,-0.08646877148684291
108,Medavakkam,12.925294,80.187417,18530682,1246,4,4,5,Yes,Independent House,1,1.3517793047581192,-1.0029275545251406
109,Anna Salai,13.063737,80.257578,19285683,1501,5,4,14,No,Villa,1,1.7583580342428413,-0.6380877983443124
110,Chromepet,12.954379,80.144686,11639652,852,3,3,14,No,Independent House,1,0.20474448483642263,-1.7804202497563655
111,OMR,12.907627,80.227179,16859390,1365,4,4,12,No,Apartment,1,1.285555654640027,-0.9439446767804311
112,OMR,12.918212,80.234903,18440313,2171,3,2,8,Yes,Independent House,2,-0.4401296254571475,-0.22550485236632134
113,Pallikaranai,12.930803,80.208713,54417480,3036,3,3,25,No,Apartment,3,-0.10891359955567156,2.8944790153689923
114,Guindy,13.001067,80.217797,45372640,3120,2,1,20,Yes,Villa,0,-1.7605856123681038,2.296512276561951
115,Velachery,12.971743,80.221988,19925632,1888,1,1,23,No,Apartment,2,-2.165924055406261,-0.3757936725227066
116,Porur,13.044285,80.155867,17847427,1223,5,4,8,No,Villa,1,1.8315261888030328,-1.0246807968250131
117,Anna Nagar,13.075278,80.210831,30311128,2177,2,2,25,No,Apartment,0,-1.1156305327265956,0.5894854049968083
118,Chromepet,12.95103,80.148591,33383520,2944,3,3,12,No,Apartment,3,0.050013561753614044,1.4577044042348422
119,Medavakkam,12.925885,80.184934,11156408,808,3,3,20,No,Independent House,1,0.1555022010697369,-1.808900887591296
120,Adyar,12.999413,80.256573,41076569,2567,1,1,3,Yes,Apartment,0,-2.0712464309777343,1.3865415286104725
121,Perungudi,12.95398,80.241487,54892150,2955,5,4,23,Yes,Villa,3,1.5217256717543715,2.9131781877413667
122,T Nagar,13.048909,80.225687,23964156,2067,3,2,6,No,Villa,0,-0.4259943873849222,-0.004952195563540394
123,Perungudi,12.97098,80.248184,8682798,798,3,3,12,No,Apartment,1,0.23121073222031258,-2.0218304341102304
